,preco,quartos,suites,vagas,m2,bairro,zona_centro,zona_leste,zona_norte,zona_oeste,zona_sul
7344,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7345,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7346,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7347,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7348,498000,3,0,1,140,Tatuapé,0,1,0,0,0
7349,490000,3,1,3,190,Vila Industrial,0,1,0,0,0
7350,875000,3,3,5,300,Vila Ré,0,1,0,0,0
7351,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7352,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7353,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7354,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7355,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7356,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7357,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7358,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7359,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7360,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7361,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7362,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7363,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7364,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7365,320000,3,0,2,141,São Mateus,0,1,0,0,0
7366,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7367,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7368,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7369,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7370,349000,2,0,2,55,Artur Alvim,0,1,0,0,0
7371,305000,3,0,2,75,Vila Curuçá,0,1,0,0,0
7372,485000,3,2,2,90,Aricanduva,0,1,0,0,0
7373,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7374,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7375,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7376,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7377,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7378,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7379,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7380,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7381,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7382,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7383,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7384,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7385,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7386,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7387,320000,3,0,2,141,São Mateus,0,1,0,0,0
7388,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7389,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7390,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7391,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7392,550000,2,0,1,83,Anália Franco,0,1,0,0,0
7393,498000,3,0,1,140,Tatuapé,0,1,0,0,0
7394,880000,3,3,3,220,Vila Portuguesa,0,1,0,0,0
7395,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7396,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7397,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7398,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7399,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7400,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7401,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7402,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7403,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7404,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7405,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7406,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7407,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7408,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7409,320000,3,0,2,141,São Mateus,0,1,0,0,0
7410,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7411,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7412,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7413,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7414,689000,2,0,2,124,Alto da Mooca,0,1,0,0,0
7415,875000,3,3,5,300,Vila Ré,0,1,0,0,0
7416,660000,3,1,5,200,Penha,0,1,0,0,0
7417,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7418,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7419,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7420,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7421,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7422,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7423,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7424,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7425,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
7426,215000,2,0,1,64,Jardim das Oliveiras,0,1,0,0,0
7427,350000,4,0,1,125,Jardim Planalto,0,1,0,0,0
7428,590000,3,3,3,150,Vila Guilhermina,0,1,0,0,0
7429,1690000,4,4,4,342,Vila Zelina,0,1,0,0,0
7430,480000,3,3,5,180,Jardim Nordeste,0,1,0,0,0
7431,320000,3,0,2,141,São Mateus,0,1,0,0,0
7432,490000,3,1,2,120,Jardim Nossa Senhora do Carmo,0,1,0,0,0
7433,1500000,5,0,6,300,Ipiranga,0,1,0,0,0
7434,380000,2,0,0,65,Tatuapé,0,1,0,0,0
7435,970000,3,3,3,222,Vila Monumento,0,1,0,0,0
7436,689000,2,0,2,124,Alto da Mooca,0,1,0,0,0
7437,660000,3,1,5,200,Penha,0,1,0,0,0
7438,250000,2,2,2,95,Guaianazes,0,1,0,0,0
7439,580000,3,1,2,130,Vila Ema,0,1,0,0,0
7440,530000,3,1,2,150,Chácara Mafalda,0,1,0,0,0
7441,700000,2,1,4,310,Vila Carrão,0,1,0,0,0
7442,650000,3,1,6,255,Sítio da Figueira,0,1,0,0,0
7443,695000,3,1,4,298,Jardim Tietê,0,1,0,0,0
7444,420000,2,2,2,127,Vila Nova Savoia,0,1,0,0,0
7445,550000,2,2,3,140,Vila Guilhermina,0,1,0,0,0
7446,749000,1,2,2,270,Vila Prudente,0,1,0,0,0
7447,380000,3,1,2,80,Parque São Rafael,0,1,0,0,0
